iso_o,iso_d,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces
ABW,ZAR,0,0,0,0,0,0,0,0,9622.77,9622.77,10139.77,10103.9
ABW,ZMB,0,0,1,0,0,0,0,0,11267.38,11267.38,11237,11235.77
ABW,ZWE,0,0,1,0,0,0,0,0,11603.47,11603.47,11528.01,11526.7
AFG,ABW,0,0,0,0,0,0,0,0,13257.81,13257.81,13168.22,13166.37
AFG,AFG,0,0,0,0,0,0,0,0,303.7614,303.7614,269.5433,90.26415
AFG,AGO,0,0,0,0,0,0,0,0,7607.8,7607.8,7573.253,7563.814
AFG,AIA,0,0,0,0,0,0,0,0,12292.16,12292.16,12205.45,12203.41
AFG,ALB,0,0,0,0,0,0,0,0,4342.117,4342.117,4250.738,4243.15
AFG,AND,0,0,0,0,0,0,0,0,5806.359,5806.359,5712.403,5707.326
AFG,ANT,0,0,0,0,0,0,0,0,13218.26,13218.26,13004.56,12995.19
AFG,ARE,0,0,0,0,0,0,0,0,1813.615,1813.615,1657.193,1628.898
AFG,ARG,0,0,0,0,0,0,0,0,15298.5,15298.5,15341.16,15333.28
AFG,ARM,0,0,0,0,0,0,0,0,2266.15,2266.15,2171.302,2155.121
AFG,ATG,0,0,0,0,0,0,0,0,12297.09,12297.09,12214.32,12212.2
AFG,AUS,0,0,0,0,0,0,0,0,11433.49,11365.44,11086.14,11020.75
AFG,AUT,0,0,0,0,0,0,0,0,4568.098,4568.098,4567.302,4557.809
AFG,AZE,0,0,0,0,0,0,0,0,1822.217,1822.217,1821.719,1796.368
AFG,BDI,0,0,0,0,0,0,0,0,5930.057,5930.057,5849.067,5842.157
AFG,BEL,0,0,0,0,0,0,0,0,5416.121,5416.121,5331.892,5326.837
AFG,BEN,0,0,0,0,0,0,0,0,7481.006,7450.474,7330.657,7323.327
AFG,BFA,0,0,0,0,0,0,0,0,7497.595,7497.595,7464.21,7456.056
AFG,BGD,0,0,0,0,0,0,0,0,2376.978,2376.978,2488.676,2472.729
AFG,BGR,0,0,0,0,0,0,0,0,4043.005,4043.005,3819.043,3805.977
AFG,BHR,0,0,0,0,0,0,0,0,2004.434,2004.434,1940.47,1917.157
AFG,BHS,0,0,0,0,0,0,0,0,12518.58,12518.58,12427.12,12425.32
AFG,BIH,0,0,0,0,0,0,0,0,4428.614,4428.614,4374.743,4367.222
AFG,BLR,0,0,0,0,0,0,0,0,3880.9,3880.9,3766.027,3755.023
AFG,BLZ,0,0,0,0,0,0,0,0,13822.82,13822.82,13714.66,13713.03
AFG,BMU,0,0,0,0,0,0,0,0,11177.66,11177.66,11089.69,11087.73
AFG,BOL,0,0,0,0,0,0,0,0,15349.95,15240.55,15100.65,15096.34
AFG,BRA,0,0,0,0,0,0,0,0,13771.76,13470.08,13223.75,13180.02
AFG,BRB,0,0,0,0,0,0,0,0,12465.55,12465.55,12371.21,12369
AFG,BRN,0,0,0,0,0,0,0,0,5741.141,5741.141,5823.199,5818.072
AFG,BTN,0,0,0,0,0,0,0,0,2103.501,2103.501,2231.291,2215.839
AFG,BWA,0,0,0,0,0,0,0,0,8023.767,8023.767,7847.092,7838.708
AFG,CAF,0,0,0,0,0,0,0,0,6188.315,6188.315,6083.534,6071.67
AFG,CAN,0,0,0,0,0,0,0,0,10768.89,10461.27,10516.29,10508.32
AFG,CCK,0,0,0,0,0,0,0,0,5992.465,5992.465,.,.
AFG,CHE,0,0,0,0,0,0,0,0,5247.043,5247.043,5136.085,5129.578
AFG,CHL,0,0,0,0,0,0,0,0,16353.9,16353.9,16262.29,16257.02
AFG,CHN,1,0,0,0,0,0,0,0,4180.438,4180.438,4434.382,4369.993
AFG,CIV,0,0,0,0,0,0,0,0,8144.624,8165.951,8067.372,8061.536
AFG,CMR,0,0,0,0,0,0,0,0,6842.123,6842.123,6632.051,6608.679
AFG,COG,0,0,0,0,0,0,0,0,7100.583,7100.583,7110.932,7100.183
AFG,COK,0,0,0,0,0,0,0,0,15044.61,15044.61,15114.23,15110.15
